sim,replicate,bleaching,tau,auto_tau,brightness
05M,3,linear0.75,10,FALSE,1.2794328660199494
05M,3,linear0.75,147,TRUE,3.030421636793405
05M,3,linear0.75,NA,FALSE,5.343468872026265
05M,3,linear0.9,10,FALSE,1.3006925438366663
05M,3,linear0.9,233,TRUE,3.560169100525652
05M,3,linear0.9,NA,FALSE,5.33601061208002
05M,3,linear0.95,10,FALSE,1.308064653708271
05M,3,linear0.95,133,TRUE,3.1320545545771368
05M,3,linear0.95,NA,FALSE,5.406723566081406
05M,3,linear0.99,10,FALSE,1.3142739901882532
05M,3,linear0.99,168,TRUE,3.3954277862769353
05M,3,linear0.99,NA,FALSE,5.4872845005658535
05M,3,power0.5,10,FALSE,1.1647574826064384
05M,3,power0.5,20,TRUE,1.37652089122141
05M,3,power0.5,NA,FALSE,4.172966528627844
05M,3,power0.75,10,FALSE,1.237597965084233
05M,3,power0.75,39,TRUE,1.8275723901751366
05M,3,power0.75,NA,FALSE,4.690339275020413
05M,3,power0.9,10,FALSE,1.2841339353283894
05M,3,power0.9,64,TRUE,2.333233500826274
05M,3,power0.9,NA,FALSE,5.15375472080077
05M,3,power0.95,10,FALSE,1.3000112650869118
05M,3,power0.95,79,TRUE,2.5918271782026996
05M,3,power0.95,NA,FALSE,5.327890316687488
05M,3,power0.99,10,FALSE,1.3128006466347741
05M,3,power0.99,95,TRUE,2.827403999535078
05M,3,power0.99,NA,FALSE,5.473630579864612
10M,1,none,10,FALSE,1.4793666024702725
10M,1,none,445,TRUE,6.644078102902959
10M,1,none,NA,FALSE,9.854232389901409
10M,1,exponential0.5,10,FALSE,1.3329713404287171
10M,1,exponential0.5,80,TRUE,3.176426919083589
10M,1,exponential0.5,NA,FALSE,11.145756871008949
10M,1,exponential0.75,10,FALSE,1.4065409603742351
10M,1,exponential0.75,162,TRUE,4.6105639164871155
10M,1,exponential0.75,NA,FALSE,9.390280899752659
10M,1,exponential0.9,10,FALSE,1.4500246065416955
10M,1,exponential0.9,243,TRUE,5.5083769060793
10M,1,exponential0.9,NA,FALSE,9.467981263697006
10M,1,exponential0.95,10,FALSE,1.4647193333469781
10M,1,exponential0.95,430,TRUE,6.44446767043267
10M,1,exponential0.95,NA,FALSE,9.630760626156034
